iter	Passed	Remaining
220	298	1052
221	299	1051
222	301	1050
223	302	1049
224	304	1047
225	305	1045
226	306	1044
227	308	1043
228	309	1041
229	310	1039
230	311	1037
231	313	1036
232	314	1036
233	316	1035
234	317	1033
235	318	1031
236	319	1029
237	321	1028
238	322	1026
239	323	1024
240	324	1022
241	326	1021
242	327	1019
243	328	1018
244	329	1016
245	331	1014
246	332	1013
247	334	1012
248	335	1011
249	336	1009
250	337	1007
251	338	1006
252	340	1004
253	341	1002
254	342	1001
255	343	999
256	344	997
257	346	995
258	347	993
259	348	992
260	349	990
261	351	988
262	352	987
263	353	985
264	354	983
265	355	982
266	357	980
267	358	978
268	359	976
269	360	975
270	361	973
271	363	971
272	364	970
273	365	969
274	367	967
275	368	966
276	369	964
277	370	963
278	372	961
279	373	960
280	374	958
281	375	956
282	376	954
283	378	953
284	379	952
285	380	950
286	382	949
287	383	947
288	384	946
289	386	945
290	387	943
291	388	941
292	389	940
293	390	938
294	392	936
295	392	934
296	393	932
297	395	930
298	396	929
299	398	929
300	400	929
301	401	927
302	403	927
303	404	925
304	405	924
305	407	923
306	408	921
307	409	920
308	410	918
309	411	916
310	412	914
311	414	913
312	415	911
313	416	909
314	417	908
315	418	906
316	419	904
317	420	902
318	421	900
319	423	899
320	424	897
321	425	895
322	426	893
323	427	891
324	428	890
325	429	888
326	431	887
327	432	885
328	433	883
329	434	882
330	435	880
331	436	879
332	438	877
333	439	875
334	440	874
335	441	872
336	442	871
337	444	869
338	445	868
339	445	865
340	447	864
341	448	862
342	449	860
343	450	859
344	451	857
345	452	856
346	454	854
347	455	853
348	456	851
349	457	850
350	458	848
351	460	846
352	461	845
353	462	843
354	463	842
355	464	840
356	465	838
357	466	837
358	468	836
359	469	834
360	470	833
361	471	831
362	473	830
363	474	828
364	475	827
365	476	825
366	477	824
367	478	822
368	480	820
369	481	819
370	482	818
371	483	816
372	484	815
373	485	813
374	487	811
375	487	809
376	489	808
377	490	806
378	491	805
379	492	803
380	493	801
381	494	800
382	495	798
383	497	797
384	498	795
385	499	794
386	500	792
387	501	791
388	502	789
389	503	788
390	504	786
391	506	784
392	507	783
393	508	781
394	509	780
395	510	778
396	511	777
397	512	775
398	514	774
399	515	773
400	516	771
401	517	769
402	518	768
403	519	766
404	521	765
405	522	764
406	523	762
407	524	760
408	525	758
409	526	757
410	527	756
411	528	754
412	529	753
413	531	751
414	532	750
415	533	748
416	534	747
417	535	745
418	536	744
419	537	742
420	539	741
421	540	739
422	541	738
423	542	736
424	543	735
425	544	734
426	545	732
427	547	731
428	548	730
429	549	728
430	550	727
431	552	725
432	553	724
433	554	723
434	555	721
435	556	720
436	557	718
437	559	717
438	560	716
439	561	714
440	562	713
441	563	711
442	565	710
443	566	709
444	567	707
445	568	706
446	569	704
447	571	704
448	573	703
449	574	702
450	575	700
451	577	699
452	579	699
453	580	698
454	581	696
455	582	695
456	584	693
457	585	692
458	586	691
459	587	690
460	589	688
461	590	687
462	591	686
463	592	684
464	594	683
465	595	681
466	596	680
467	597	679
468	598	677
469	599	676
470	601	675
471	602	673
472	603	672
473	604	671
474	605	669
475	606	668
476	608	666
477	609	665
478	610	664
479	611	662
480	612	661
481	614	659
482	615	658
483	616	657
484	617	655
485	618	654
486	619	652
487	620	651
488	622	650
489	623	648
490	624	647
491	625	645
492	626	644
493	627	643
494	629	641
495	630	640
496	631	639
497	632	637
498	633	636
499	635	635
500	636	633
501	637	632
502	638	630
503	639	629
504	640	628
505	641	626
506	643	625
507	644	624
508	645	622
509	646	621
510	647	620
511	649	618
512	650	617
513	651	616
514	652	614
515	653	613
516	655	612
517	656	610
518	657	609
519	658	607
520	659	606
521	661	605
522	662	604
523	663	602
524	664	601
525	665	600
526	667	598
527	669	598
528	670	596
529	671	595
530	672	594
531	673	592
532	675	591
533	676	590
534	677	588
535	678	587
536	679	586
537	680	584
538	682	583
539	683	582
540	684	580
541	685	579
542	686	577
543	688	576
544	689	575
545	690	574
546	691	572
547	693	571
548	694	570
549	695	569
550	696	567
551	697	566
552	699	565
553	701	564
554	702	563
555	703	562
556	705	560
557	706	559
558	708	558
559	709	557
560	710	556
561	712	554
562	713	553
563	714	552
564	716	551
565	717	550
566	718	548
567	719	547
568	720	546
569	722	544
570	723	543
571	724	542
572	725	540
573	726	539
574	728	538
575	729	537
576	730	535
577	732	535
578	734	534
579	736	533
580	737	531
581	738	530
582	739	529
583	741	527
584	742	526
585	743	525
586	745	524
587	747	523
588	748	522
589	749	521
590	751	519
591	752	518
592	753	517
593	754	515
594	756	514
595	757	513
596	758	511
597	760	510
598	761	509
599	762	508
600	763	507
601	764	505
602	765	504
603	766	502
604	768	501
605	769	500
606	770	499
607	772	497
608	773	496
609	774	495
610	775	493
611	777	492
612	778	491
613	779	490
614	781	488
615	782	487
616	784	486
617	785	485
618	786	484
619	787	482
620	789	481
621	790	480
622	792	479
623	793	478
624	795	477
625	796	475
626	797	474
627	798	473
628	800	471
629	801	470
630	802	469
631	804	468
632	805	466
633	806	465
634	807	464
635	808	462
636	810	461
637	811	460
638	812	459
639	813	457
640	815	456
641	816	455
642	817	454
643	820	453
644	821	452
645	822	450
646	824	449
647	824	448
648	826	446
649	827	445
650	828	444
651	830	443
652	831	441
653	832	440
654	833	439
655	835	437
656	836	436
657	837	435
658	838	434
659	839	432
660	841	431
661	842	430
662	843	428
663	844	427
664	845	426
665	847	424
666	848	423
667	849	422
668	850	420
669	851	419
670	853	418
671	854	416
672	855	415
673	856	414
674	857	413
675	859	411
676	860	410
677	861	409
678	862	407
679	864	406
680	866	405
681	869	405
682	873	405
683	874	404
684	875	402
685	878	402
686	879	400
687	881	399
688	882	398
689	885	397
690	886	396
691	887	395
692	889	393
693	890	392
694	891	391
695	892	390
696	894	388
697	895	387
698	896	386
699	897	384
700	898	383
701	900	382
702	901	380
703	902	379
704	903	378
705	904	376
706	906	375
707	908	374
708	909	373
709	910	371
710	911	370
711	913	369
712	914	368
713	915	366
714	916	365
715	918	364
716	919	362
717	920	361
718	921	360
719	922	358
720	923	357
721	924	356
722	926	354
723	927	353
724	928	352
725	929	350
726	930	349
727	932	348
728	933	346
729	934	345
730	935	344
731	936	342
732	937	341
733	939	340
734	940	339
735	941	337
736	942	336
737	943	335
738	945	333
739	946	332
740	947	331
741	949	330
742	950	328
743	952	327
744	953	326
745	954	325
746	955	323
747	957	322
748	958	321
749	960	320
750	962	318
751	963	317
752	964	316
753	965	315
754	966	313
755	968	312
756	969	311
757	970	309
758	971	308
759	972	307
760	974	305
761	975	304
762	976	303
763	978	302
764	979	300
765	980	299
766	981	298
767	982	296
768	984	295
769	985	294
770	986	293
771	987	291
772	988	290
773	990	289
774	991	287
775	992	286
776	993	285
777	994	283
778	996	282
779	997	281
780	998	280
781	999	278
782	1001	277
783	1002	276
784	1003	274
785	1004	273
786	1006	272
787	1007	270
788	1008	269
789	1009	268
790	1010	267
791	1012	265
792	1013	264
793	1014	263
794	1015	261
795	1016	260
796	1017	259
797	1018	257
798	1020	256
799	1021	255
800	1022	254
801	1024	252
802	1025	251
803	1026	250
804	1027	248
805	1028	247
806	1029	246
807	1030	244
808	1032	243
809	1033	242
810	1034	241
811	1035	239
812	1037	238
813	1038	237
814	1039	235
815	1040	234
816	1041	233
817	1043	232
818	1044	230
819	1045	229
820	1046	228
821	1047	226
822	1048	225
823	1049	224
824	1051	222
825	1052	221
826	1053	220
827	1054	219
828	1055	217
829	1056	216
830	1058	215
831	1059	213
832	1060	212
833	1061	211
834	1062	209
835	1063	208
836	1064	207
837	1065	206
838	1067	204
839	1068	203
840	1069	202
841	1070	200
842	1071	199
843	1072	198
844	1073	196
845	1075	195
846	1076	194
847	1077	193
848	1078	191
849	1079	190
850	1080	189
851	1082	187
852	1083	186
853	1084	185
854	1085	184
855	1086	182
856	1087	181
857	1088	180
858	1089	178
859	1090	177
860	1091	176
861	1093	174
862	1094	173
863	1095	172
864	1096	171
865	1097	169
866	1098	168
867	1099	167
868	1100	165
869	1101	164
870	1103	163
871	1104	162
872	1105	160
873	1106	159
874	1107	158
875	1108	156
876	1109	155
877	1110	154
878	1112	153
879	1113	151
880	1114	150
881	1115	149
882	1116	147
883	1117	146
884	1118	145
885	1120	144
886	1121	142
887	1122	141
888	1123	140
889	1124	138
890	1125	137
891	1126	136
892	1128	135
893	1129	133
894	1130	132
895	1131	131
896	1132	130
897	1133	128
898	1134	127
899	1136	126
900	1137	124
901	1138	123
902	1140	122
903	1142	121
904	1143	120
905	1144	118
906	1146	117
907	1147	116
908	1148	114
909	1149	113
910	1150	112
911	1151	111
912	1153	109
913	1154	108
914	1155	107
915	1156	106
916	1157	104
917	1159	103
918	1160	102
919	1161	100
920	1162	99
921	1163	98
922	1164	97
923	1165	95
924	1167	94
925	1167	93
926	1168	92
927	1170	90
928	1171	89
929	1172	88
930	1173	86
931	1175	85
932	1176	84
933	1177	83
934	1178	81
935	1179	80
936	1180	79
937	1182	78
938	1183	76
939	1185	75
940	1186	74
941	1187	73
942	1189	71
943	1190	70
944	1191	69
945	1193	68
946	1194	66
947	1195	65
948	1196	64
949	1197	63
950	1198	61
951	1200	60
952	1201	59
953	1202	57
954	1203	56
955	1204	55
956	1205	54
957	1206	52
958	1208	51
959	1209	50
960	1210	49
961	1211	47
962	1212	46
963	1213	45
964	1214	44
965	1215	42
966	1216	41
967	1218	40
968	1219	39
969	1220	37
970	1221	36
971	1222	35
972	1223	33
973	1224	32
974	1225	31
975	1226	30
976	1227	28
977	1228	27
978	1230	26
979	1231	25
980	1232	23
981	1233	22
982	1234	21
983	1235	20
984	1236	18
985	1238	17
986	1239	16
987	1240	15
988	1241	13
989	1242	12
990	1243	11
991	1244	10
992	1246	8
993	1247	7
994	1248	6
995	1249	5
996	1250	3
997	1251	2
998	1252	1
999	1253	0
