iter	MultiClass
0	1.829933636
1	1.730272084
2	1.645825284
3	1.572734294
4	1.487488811
5	1.42636249
6	1.347139212
7	1.290740758
8	1.22520427
9	1.171762461
10	1.117187889
11	1.069743574
12	1.030538947
13	0.9886355267
14	0.9450769361
15	0.9109095591
16	0.8703337838
17	0.8422183209
18	0.8075012104
19	0.7787719402
20	0.7527724806
21	0.7265185576
22	0.6994582003
23	0.6763215405
24	0.6522180676
25	0.6336363206
26	0.6168016049
27	0.5985192725
28	0.5800886872
29	0.5610133524
30	0.5454047846
31	0.5285195132
32	0.510998236
33	0.4969339189
34	0.4812725415
35	0.4700133726
36	0.4558930447
37	0.4456734557
38	0.4347590526
39	0.4243259545
40	0.4145981664
41	0.4040381436
42	0.3927340212
43	0.3844509464
44	0.3754335156
45	0.3672161848
46	0.3580673376
47	0.349991859
48	0.3430423514
49	0.3353706354
50	0.3270826073
51	0.3189180266
52	0.3128240202
53	0.3064538456
54	0.2984937047
55	0.2919845575
56	0.2854298995
57	0.2793933848
58	0.2725612053
59	0.2669150712
60	0.2606401075
61	0.2559596274
62	0.2498573321
63	0.2445378748
64	0.2389473757
65	0.2347858052
66	0.230495097
67	0.2256560019
68	0.2211084339
69	0.2173148564
70	0.2139696239
71	0.21083734
72	0.2072203299
73	0.2037755243
74	0.200001989
75	0.1969226535
76	0.1934366479
77	0.189244045
78	0.186369134
79	0.1835770164
80	0.1806701844
81	0.1774710742
82	0.1747617107
83	0.1721115941
84	0.1695872814
85	0.1672486571
86	0.1643659349
87	0.1618146828
88	0.1592883996
89	0.1571134664
90	0.1541834231
91	0.1519053451
92	0.1495270116
93	0.1469674846
94	0.1445618492
95	0.1424023787
96	0.1401586283
97	0.1382548349
98	0.1363461482
99	0.1343850361
100	0.1324648761
101	0.1308555595
102	0.129315571
103	0.1274046943
104	0.1255400964
105	0.1238356233
106	0.1222253438
107	0.1206481105
108	0.119149797
109	0.1177542671
110	0.1163030465
111	0.1150752451
112	0.1138886804
113	0.1125834051
114	0.1113071778
115	0.1096843294
116	0.1084376071
117	0.1072926779
118	0.1060588252
119	0.104819382
120	0.1034598885
121	0.1020786057
122	0.1009179167
123	0.09954239481
124	0.09861034522
125	0.09761149509
126	0.09660520389
127	0.09564776718
128	0.09450194675
129	0.09366164629
130	0.09273713547
131	0.09178500754
132	0.09078112897
133	0.08990375619
134	0.08907433003
135	0.08820428112
136	0.08747850744
137	0.08656989382
138	0.0858027157
139	0.08503507746
140	0.084315394
141	0.08348151256
142	0.0827283913
143	0.08179140096
144	0.08077197681
145	0.08000587104
146	0.07941468482
147	0.07858410723
148	0.0775914892
149	0.07692163138
150	0.07605869111
151	0.07537450973
152	0.07454125313
153	0.07383505482
154	0.07326523696
155	0.07268559717
156	0.07198119392
157	0.07136603138
158	0.07083216148
159	0.07026254939
160	0.06976920846
161	0.0690186443
162	0.0685061682
163	0.06795304929
164	0.06724742447
165	0.06675681151
166	0.06612231796
167	0.06567801258
168	0.06507440895
169	0.06445028079
170	0.06405092183
171	0.06346194611
172	0.06295904275
173	0.06257256561
174	0.06196503953
175	0.06151465467
176	0.06092369374
177	0.06039561912
178	0.0598719907
179	0.05936668026
180	0.05895238361
181	0.05846467598
182	0.05798233299
183	0.05758617436
184	0.05716655125
185	0.05678335963
186	0.05639845612
187	0.05602847602
188	0.05556209666
189	0.05515551056
190	0.05481441439
191	0.05439644156
192	0.05403347621
193	0.05368154544
194	0.05335201516
195	0.05295933685
196	0.05257768455
197	0.05222228767
198	0.0518092885
199	0.05150040054
200	0.05113367271
201	0.05082965239
202	0.05046258975
203	0.05009269423
204	0.0498074122
205	0.04947870789
206	0.04917204814
207	0.04880697426
208	0.04850915462
209	0.04819692352
210	0.04788392141
211	0.04765809099
212	0.04734637056
213	0.04697287426
214	0.04669033358
215	0.0464218885
216	0.04607956055
217	0.04579861378
218	0.04556607278
219	0.04525120432
220	0.04492546405
221	0.04462783312
222	0.04432817555
223	0.0440736338
224	0.04382231165
225	0.0434760512
226	0.04325391883
227	0.04300428696
228	0.04278965698
229	0.04253327359
230	0.04230594789
231	0.04201694777
232	0.04178672314
233	0.04159189679
234	0.0413707821
235	0.04115544696
236	0.04090949004
237	0.04068567672
238	0.04045778929
239	0.04019608733
240	0.03996926097
241	0.03976383477
242	0.03957977466
243	0.03941075182
244	0.03920870244
245	0.03899009798
246	0.03873475147
247	0.03855604963
248	0.03832643955
249	0.03812431944
250	0.03790245306
251	0.03774037812
252	0.03756693085
253	0.03739624867
254	0.0372167847
255	0.0370228135
256	0.03685803357
257	0.03659011387
258	0.03640384844
259	0.03625029136
260	0.03607779908
261	0.03593391007
262	0.03579166452
263	0.03562233545
264	0.0354102316
265	0.03524393323
266	0.0350866428
267	0.03490933016
268	0.0346990496
269	0.03455853275
270	0.0343713763
271	0.03419839516
272	0.03406165672
273	0.03392581623
274	0.03373409531
275	0.03358111072
276	0.03343721271
277	0.03327249665
278	0.0330894557
279	0.03292157143
280	0.032779005
281	0.03265068405
282	0.03251393741
283	0.03235734932
284	0.03225569723
285	0.03211257671
286	0.03198717331
287	0.03185041082
288	0.0316992809
289	0.03156185633
290	0.03140788602
291	0.03125934221
292	0.03113344541
293	0.0310053166
294	0.03089154939
295	0.03075510036
296	0.03064368572
297	0.03051950792
298	0.03038365054
299	0.03026555982
300	0.03012016396
301	0.02998417801
302	0.02985618283
303	0.02978130455
304	0.02962615401
305	0.02950156699
306	0.0293819055
307	0.02924084018
308	0.02912216881
309	0.02900627655
310	0.02892030854
311	0.02879085919
312	0.02866779589
313	0.02855234376
314	0.02844137334
315	0.0283156351
316	0.028205048
317	0.02808647698
318	0.02796344207
319	0.0278286834
320	0.02773037254
321	0.02762094199
322	0.02750027053
323	0.02741448777
324	0.0273103268
325	0.02723447205
326	0.02711482032
327	0.02700891288
328	0.02690494243
329	0.02679166994
330	0.02672279468
331	0.02664122245
332	0.02655811827
333	0.02647508329
334	0.02638421655
335	0.02629561897
336	0.02621288828
337	0.02611956148
338	0.02602317384
339	0.02593903288
340	0.02583342686
341	0.02573482144
342	0.02563903293
343	0.02553642046
344	0.02545969069
345	0.02538665904
346	0.02528219616
347	0.0251995934
348	0.02511485072
349	0.02502691801
350	0.02491610666
351	0.02483902117
352	0.02475251191
353	0.02466812273
354	0.02458210438
355	0.02450341792
356	0.02442574858
357	0.02435027764
358	0.02425631307
359	0.02418119404
360	0.02408412874
361	0.02400327804
362	0.02392506856
363	0.02385333113
364	0.02377960089
365	0.02371304968
366	0.02363601139
367	0.02355039856
368	0.02346945446
369	0.0234132405
370	0.02334246784
371	0.02327929567
372	0.02318259668
373	0.02309733438
374	0.02302985569
375	0.02295838395
376	0.022885994
377	0.02282389068
378	0.02275130875
379	0.02268036445
380	0.02262012715
381	0.02253961723
382	0.0224787944
383	0.02241878295
384	0.02233661445
385	0.02227155725
386	0.02218558239
387	0.02211946606
388	0.02206963814
389	0.02201483714
390	0.02197445195
391	0.02190344451
392	0.02184604114
393	0.02179655791
394	0.02171431872
395	0.02166013461
396	0.02158850523
397	0.02151935836
398	0.021458506
399	0.02138775478
400	0.02132743968
401	0.02125576427
402	0.02117453924
403	0.02110793888
404	0.02103702235
405	0.02098497208
406	0.02091912792
407	0.02084052591
408	0.02076495691
409	0.02071219037
410	0.02065909537
411	0.02056015405
412	0.02050288715
413	0.02044334373
414	0.02038440931
415	0.02032152244
416	0.0202571927
417	0.02020397558
418	0.02013010516
419	0.0200807364
420	0.02002501625
421	0.01996142507
422	0.01991584003
423	0.01985645019
424	0.0198151912
425	0.01975386382
426	0.01970526709
427	0.01965887666
428	0.01961115447
429	0.01956347156
430	0.01948753108
431	0.01944634666
432	0.01938256172
433	0.01932159328
434	0.01923946423
435	0.01917794471
436	0.01911780844
437	0.01906710828
438	0.01901735132
439	0.01896626499
440	0.01893242267
441	0.01888510817
442	0.01884006809
443	0.01878957421
444	0.01874618157
445	0.01870179099
446	0.01865531535
447	0.01861299966
448	0.01857127696
449	0.01851941931
450	0.01848063874
451	0.01842995399
452	0.01838942245
453	0.01834443844
454	0.01830384016
455	0.01824477753
456	0.01819181987
457	0.01814562376
458	0.01809260866
459	0.01805377553
460	0.01801002699
461	0.01795549585
462	0.01791278073
463	0.01786983466
464	0.01782923562
465	0.01781046364
466	0.01776458397
467	0.01771613829
468	0.01767634263
469	0.0176390312
470	0.01759141064
471	0.0175414779
472	0.01750018845
473	0.01745652192
474	0.01741674253
475	0.01738771685
476	0.01734035892
477	0.01730084301
478	0.01726036284
479	0.01722042136
480	0.01717790703
481	0.01711782531
482	0.01705348502
483	0.01701463965
484	0.0169756792
485	0.01693953775
486	0.01689173173
487	0.01684780795
488	0.01681687374
489	0.01677444547
490	0.01673924662
491	0.01670319942
492	0.01665400834
493	0.01661771048
494	0.01657854222
495	0.01653999891
496	0.01650536962
497	0.01646112314
498	0.01642876447
499	0.01638351637
500	0.01634714488
501	0.01631471226
502	0.01627802069
503	0.01623376039
504	0.016192945
505	0.0161528554
506	0.01611878991
507	0.01608629938
508	0.01605557112
509	0.01602010443
510	0.01598595912
511	0.01594146175
512	0.01590829813
513	0.01586370341
514	0.01582445518
515	0.01579390193
516	0.01576317859
517	0.01572646798
518	0.01568578842
519	0.01566503418
520	0.01562483091
521	0.01557409
522	0.01554350219
523	0.01549143447
524	0.01546183044
525	0.01542533161
526	0.01539016905
527	0.01535781709
528	0.01532457149
529	0.01529015595
530	0.01526042402
531	0.0152459451
532	0.01520679126
533	0.015174364
534	0.0151378132
535	0.01510430748
536	0.01506953959
537	0.01503601684
538	0.01501176096
539	0.01497637667
540	0.01495006061
541	0.01492538773
542	0.01489869812
543	0.01486647313
544	0.01485622785
545	0.01482857278
546	0.01480322194
547	0.01477402131
548	0.014748279
549	0.0147192597
550	0.01469025833
551	0.01465906703
552	0.01462558037
553	0.0145999883
554	0.014581542
555	0.01455410542
556	0.01451842439
557	0.01449562385
558	0.01446182865
559	0.01442051987
560	0.01439399343
561	0.01436581381
562	0.0143366912
563	0.01430194137
564	0.01427700346
565	0.01424840906
566	0.01420725854
567	0.01417532778
568	0.0141375244
569	0.01413287249
570	0.01410441698
571	0.01407239178
572	0.01403926724
573	0.01400330414
574	0.01397801551
575	0.01394965767
576	0.01392324389
577	0.01389588818
578	0.0138723804
579	0.01384585763
580	0.01381594679
581	0.0137877337
582	0.01376466778
583	0.01373101029
584	0.01370636139
585	0.01368355758
586	0.01365906175
587	0.01363470616
588	0.01360963979
589	0.01357911311
590	0.01355708572
591	0.0135345613
592	0.01350571968
593	0.01346900844
594	0.0134470281
595	0.01342072157
596	0.01340842998
597	0.01339008606
598	0.01335626684
599	0.01331899279
600	0.01328115944
601	0.01325668825
602	0.01321964099
603	0.0131974024
604	0.01317275699
605	0.01314352315
606	0.01311828415
607	0.01309533996
608	0.01307411482
609	0.01305923552
610	0.01303410364
611	0.01301975227
612	0.01299794403
613	0.01297572187
614	0.01295246068
615	0.01293354749
616	0.01291374483
617	0.0128896136
618	0.01287031003
619	0.01284878897
620	0.01282539325
621	0.01280359065
622	0.01277606074
623	0.01275086527
624	0.01271740806
625	0.01269587053
626	0.01267409072
627	0.01264901315
628	0.01262585398
629	0.01259838213
630	0.01257368951
631	0.01255137978
632	0.01252869994
633	0.01250694713
634	0.01248544172
635	0.01246045217
636	0.01243705244
637	0.01241362991
638	0.0123910052
639	0.01236762226
640	0.01234845114
641	0.01231970501
642	0.01229221942
643	0.01227417832
644	0.01225013545
645	0.01223188932
646	0.01221117801
647	0.01219769593
648	0.01217405254
649	0.01215361959
650	0.01214114597
651	0.01212106135
652	0.01209994334
653	0.01208176633
654	0.01206129901
655	0.01203919558
656	0.01201787507
657	0.01199545059
658	0.01197114479
659	0.01194244048
660	0.01192366955
661	0.01190237436
662	0.01188262063
663	0.01186520156
664	0.01184513957
665	0.01182970221
666	0.01181054465
667	0.01178917905
668	0.01175833941
669	0.01173704076
670	0.011719046
671	0.01169774764
672	0.01168064835
673	0.01166326212
674	0.01164790469
675	0.01162754775
676	0.01160726534
677	0.0115943892
678	0.01157702601
679	0.01156146427
680	0.01154617821
681	0.01152255644
682	0.01150347202
683	0.01147603018
684	0.0114598614
685	0.01143755889
686	0.01141982866
687	0.01140047381
688	0.01137797426
689	0.01136435642
690	0.01134877394
691	0.01133278106
692	0.0113124577
693	0.01129268001
694	0.01127184025
695	0.0112566842
696	0.01123844094
697	0.0112194794
698	0.01120240335
699	0.01118004149
700	0.01116358017
701	0.01114451844
702	0.01112981169
703	0.01110940323
704	0.01109093435
705	0.01107849518
706	0.011063637
707	0.0110447752
708	0.01102290847
709	0.01100405751
710	0.01098785711
